time_s,x_e_m,y_e_m,z_e_m,phi_rad,theta_rad,psi_rad,u_m_s,v_m_s,w_m_s,p_rad_s,q_rad_s,r_rad_s,u_m_s_dot,v_m_s_dot,w_m_s_dot,p_rad_s_dot,q_rad_s_dot,r_rad_s_dot,alpha_rad,beta_rad,airspeed_m_s,elevator_deg,aileron_deg,rudder_deg,throttle,brake
0,0,0,-800,0,0.1275680681,0,11.90249067,0,1.526668208,-0,0,0,-4.401754561e-08,0,5.890245625e-07,0,-8.133541895e-09,0,0.1275680681,0,12,-0.6854041152,0,0,0.6140593696,0
0.01,0.12,0,-800,0,0.1275680681,0,11.90249067,0,1.526668214,0,-1.651063693e-10,0,-3.995749237e-08,0,5.735168832e-07,0,-2.45014447e-08,0,0.1275680686,0,12,-0.6854041152,0,0,0.6140593696,0
0.02,0.24,0,-800,0,0.1275680681,0,11.90249067,0,1.52666822,0,-4.826549167e-10,0,-3.576938522e-08,0,5.566661631e-07,0,-3.865596556e-08,0,0.1275680691,0,12,-0.6854041152,0,0,0.6140593696,0
0.03,0.36,0,-800,0,0.1275680681,0,11.90249067,0,1.526668225,0,-9.315082107e-10,0,-3.147745731e-08,0,5.387363198e-07,0,-5.079411171e-08,0,0.1275680696,0,12,-0.6854041152,0,0,0.6140593696,0
0.04,0.48,0,-800,0,0.1275680681,0,11.90249067,0,1.526668231,0,-1.492431871e-09,0,-2.710354718e-08,0,5.199641454e-07,0,-6.109959196e-08,0,0.12756807,0,12,-0.6854041152,0,0,0.6140593696,0
0.05,0.6,0,-800,0,0.1275680681,0,11.90249067,0,1.526668236,0,-2.147964703e-09,0,-2.26672779e-08,0,5.005613282e-07,0,-6.974343663e-08,0,0.1275680704,0,12,-0.6854041152,0,0,0.6140593696,0
0.06,0.7200000001,0,-800,0,0.1275680681,0,11.90249067,0,1.526668241,0,-2.882295e-09,0,-1.818622552e-08,0,4.807164434e-07,0,-7.688461787e-08,0,0.1275680708,0,12,-0.6854041152,0,0,0.6140593696,0
0.07,0.8400000001,0,-800,0,0.127568068,0,11.90249067,0,1.526668245,0,-3.681143034e-09,0,-1.367607887e-08,0,4.605967872e-07,0,-8.267066016e-08,0,0.1275680712,0,12,-0.6854041152,0,0,0.6140593696,0
0.08,0.9600000001,0,-800,0,0.127568068,0,11.90249067,0,1.52666825,0,-4.531649573e-09,0,-9.150788518e-09,0,4.403500804e-07,0,-8.723823352e-08,0,0.1275680716,0,12,-0.6854041152,0,0,0.6140593696,0
0.09,1.08,0,-800,0,0.127568068,0,11.90249067,0,1.526668254,0,-5.422270299e-09,0,-4.622704345e-09,0,4.201061192e-07,0,-9.071375156e-08,0,0.127568072,0,12,-0.6854041152,0,0,0.6140593696,0
0.1,1.2,0,-800,0,0.1275680679,0,11.90249067,0,1.526668258,0,-6.34267608e-09,0,-1.027127551e-10,0,3.999782696e-07,0,-9.321392776e-08,0,0.1275680723,0,12,-0.6854041152,0,0,0.6140593696,0
0.11,1.32,0,-800,0,0.1275680678,0,11.90249067,0,1.526668262,0,-7.283658755e-09,0,4.39964239e-09,0,3.800649301e-07,0,-9.48463365e-08,0,0.1275680726,0,12,-0.6854041152,0,0,0.6140593696,0
0.12,1.44,0,-800,0,0.1275680678,0,11.90249067,0,1.526668266,0,-8.237042478e-09,0,8.876044177e-09,0,3.60450819e-07,0,-9.570995106e-08,0,0.1275680729,0,12.00000001,-0.6854041152,0,0,0.6140593696,0
0.13,1.56,0,-800,0,0.1275680677,0,11.90249067,0,1.526668269,0,-9.195600278e-09,0,1.331929546e-08,0,3.412082473e-07,0,-9.589566151e-08,0,0.1275680732,0,12.00000001,-0.6854041152,0,0,0.6140593696,0
0.14,1.68,0,-800,0,0.1275680676,0,11.90249067,0,1.526668273,0,-1.015297575e-08,0,1.77232133e-08,0,3.223982402e-07,0,-9.548676938e-08,0,0.1275680735,0,12.00000001,-0.6854041152,0,0,0.6140593696,0
0.15,1.8,0,-800,0,0.1275680675,0,11.90249067,0,1.526668276,0,-1.110360956e-08,0,2.208254096e-08,0,3.040716412e-07,0,-9.455947098e-08,0,0.1275680737,0,12.00000001,-0.6854041152,0,0,0.6140593696,0
0.16,1.920000001,0,-800,0,0.1275680673,0,11.90249067,0,1.526668279,0,-1.204267078e-08,0,2.639285553e-08,0,2.862700963e-07,0,-9.318332035e-08,0,0.127568074,0,12.00000001,-0.6854041152,0,0,0.6140593696,0
0.17,2.040000001,0,-800,0,0.1275680672,0,11.90249067,0,1.526668282,0,-1.29659926e-08,0,3.065049063e-08,0,2.690269668e-07,0,-9.142166218e-08,0,0.1275680742,0,12.00000001,-0.6854041152,0,0,0.6140593696,0
0.18,2.160000001,0,-800,0,0.1275680671,0,11.90249067,0,1.526668284,0,-1.387001242e-08,0,3.485245626e-08,0,2.523682093e-07,0,-8.933205797e-08,0,0.1275680744,0,12.00000001,-0.6854041152,0,0,0.6140593696,0
0.19,2.280000001,0,-800,0,0.1275680669,0,11.90249067,0,1.526668287,0,-1.475171598e-08,0,3.899637511e-08,0,2.363131259e-07,0,-8.696668458e-08,0,0.1275680746,0,12.00000001,-0.6854041152,0,0,0.6140593696,0
0.2,2.400000001,0,-800,0,0.1275680668,0,11.90249067,0,1.526668289,0,-1.560858545e-08,0,4.308041324e-08,0,2.208751504e-07,0,-8.437271318e-08,0,0.1275680748,0,12.00000001,-0.6854041152,0,0,0.6140593696,0
0.21,2.520000001,0,-800,0,0.1275680666,0,11.90249067,0,1.526668291,0,-1.643855124e-08,0,4.710322514e-08,0,2.060624496e-07,0,-8.15926729e-08,0,0.127568075,0,12.00000001,-0.6854041152,0,0,0.6140593696,0
0.22,2.640000001,0,-800,0,0.1275680665,0,11.90249067,0,1.526668293,0,-1.723994726e-08,0,5.106389308e-08,0,1.918785826e-07,0,-7.866479311e-08,0,0.1275680751,0,12.00000001,-0.6854041152,0,0,0.6140593696,0
